profuse,abundant
bleak,hopeless
apogee,highest point
decry,speak out against
pastoral,rural
meander,wander
modicum,small amount
obscure,hide from view
contentious,causing arguments
tyro,beginner
conducive,helpful
desecrate,ruin something holy
complaisant,cheerfully obedient
derogative,insulting
inequity,unfairness
despot,tyrant
inviolable,sacred
incontrovertible,undisputable
maverick,radical thinker
proponent,supporter
evanescent,short lived
expunge,erase
myriad,large number
morose,gloomy
placid,peaceful
puerile,childish
loath,reluctant
ossify,harden
obstinate,stubborn
telltale,revealing
bastardization,corruption
corollary,consequence
ebullient,enthusiastic
debunk,prove to be false
avarice,greed
buttress,support
nuance,subtlety
artifice,trickery
admonish,warn
squander,waste
chagrin,dismay
nettlesome,annoying
conciliate,make peace with
tact,proper social behaviour
pertinent,relevant
unseemly,improper
histrionic,overly theatrical
lachrymose,weepy
antic,grotesque
antipathy,hatred
gambit,scheme
unnerve,make one lose confidence
pariah,outcast
ravenous,very hungry
dog,pursue
treacherous,involving betrayal
debase,reduce the value
diatribe,bitter verbal attack
inchoate,not fully formed
